RQF_dB,Cumulative_Probability
-5.198048553765982,0.125
-2.3052662087198486,0.25
-0.5496840391103507,0.375
0.21653548420276056,0.5
0.460498461419423,0.625
0.54157526692086,0.75
0.5706844820586215,0.875
0.5839462960947182,1.0
