Detection_Rate,Cumulative_Probability
0.4033333333333334,0.125
0.4533333333333334,0.25
0.6499999999999999,0.375
0.7133333333333336,0.5
0.7200000000000002,0.625
0.7200000000000003,0.75
0.7233333333333334,0.875
0.7333333333333336,1.0
